id,lat,long,site,half,date,season,stream,dist,cfs,ls,TP,PP,TDP,DRP,DOP
50,40.36189332,-111.4079966,LHC03,Upper,2015-07-29,Summer,L,8,0,0,0,0,0,0,0
51,40.37567584,-111.4246417,LHC04,Upper,2015-07-29,Summer,L,10.4,0,0,0,0,0,0,0
52,40.34765666,-111.4028916,LHC02,Upper,2015-07-29,Summer,L,6.58,0.02,0.6,0.02,0.01,0.01,0.01,0
53,40.38636757,-111.4226418,SC01,Lower,2015-07-29,Summer,S,0.12,2.73,77.3,2.24,0.15,2.09,1.97,0.12
54,40.38997727,-111.4316945,SC03,Lower,2015-07-29,Summer,S,1.11,0,0,0,0,0,0,0
55,40.39821756,-111.4380473,SC04,Lower,2015-07-29,Summer,S,2.37,0.91,25.8,5.26,4.84,0.41,0.26,0.15
56,40.40197848,-111.4505074,SC06,Lower,2015-07-29,Summer,S,4.13,0.81,22.9,0.5,0.21,0.3,0.18,0.11
57,40.40300907,-111.4591105,SC07,Lower,2015-07-29,Summer,S,5.17,0.25,7.1,0.95,0.11,0.84,0.67,0.17
58,40.33435765,-111.3794539,MC01,Upper,2015-11-06,Autumn,M,9.11,1.73,49,0,0,0,0,0
59,40.35729228,-111.394846,MC02,Upper,2015-11-06,Autumn,M,12.1,0.3,8.5,0.06,0,0.06,0,0.06
60,40.36984777,-111.4035923,MC03,Upper,2015-11-06,Autumn,M,13.8,0.59,16.7,0.2,0.05,0.15,0,0.15
61,40.37932339,-111.4215613,MC04,Upper,2015-11-06,Autumn,M,15.9,0,0,0,0,0,0,0
62,40.38604147,-111.4347176,MC05,Upper,2015-11-06,Autumn,M,17.5,0.06,1.7,0.03,0.03,0,0,0
63,40.39472968,-111.4455208,MC06,Lower,2015-11-06,Autumn,M,19.6,0.19,5.4,0.24,0.02,0.22,0.15,0.07
64,40.4018619,-111.459279,MC07,Lower,2015-11-06,Autumn,M,21.8,0.6,17,0.47,0.26,0.21,0.15,0.06
65,40.40413866,-111.4654134,MC08,Lower,2015-11-06,Autumn,M,22.4,1.25,35.4,2.04,1.51,0.53,0.37,0.16
66,40.40631407,-111.4723729,MC09,Lower,2015-11-06,Autumn,M,23.2,0.99,28,2.39,1.91,0.48,0.38,0.1
67,40.40965002,-111.4784938,MC10,Lower,2015-11-06,Autumn,M,24,1.27,36,1.26,0.64,0.61,0.54,0.08
68,40.34323751,-111.4098996,LHC01,Upper,2015-11-06,Autumn,L,5.53,0.84,23.8,0.59,0.05,0.54,0,0.54
69,40.36189332,-111.4079966,LHC03,Upper,2015-11-06,Autumn,L,8,1.16,32.8,0,0,0,0,0
70,40.37567584,-111.4246417,LHC04,Upper,2015-11-06,Autumn,L,10.4,0.16,4.5,0.14,0.02,0.12,0.07,0.04
71,40.34765666,-111.4028916,LHC02,Upper,2015-11-06,Autumn,L,6.58,0.05,1.4,0.02,0.02,0,0,0
72,40.38636757,-111.4226418,SC01,Lower,2015-11-06,Autumn,S,0.12,2.23,63.1,1.58,0.3,1.28,1.26,0.01
73,40.38997727,-111.4316945,SC03,Lower,2015-11-06,Autumn,S,1.11,1.1,31.1,0.93,0.12,0.81,0.75,0.06
74,40.39821756,-111.4380473,SC04,Lower,2015-11-06,Autumn,S,2.37,0.91,25.8,1.09,0.37,0.72,0.58,0.14
75,40.40197848,-111.4505074,SC06,Lower,2015-11-06,Autumn,S,4.13,1.5,42.5,1.36,0.51,0.86,0.7,0.16
76,40.40300907,-111.4591105,SC07,Lower,2015-11-06,Autumn,S,5.17,0.67,19,1.5,1.12,0.38,0.38,0
77,40.33435765,-111.3794539,MC01,Upper,2016-02-20,Winter,M,9.11,1.27,36,0.25,0,0.25,0,0.25
78,40.35729228,-111.394846,MC02,Upper,2016-02-20,Winter,M,12.1,0.13,3.7,0,0,0,0,0
79,40.36984777,-111.4035923,MC03,Upper,2016-02-20,Winter,M,13.8,1.49,42.2,0.51,0,0.51,0,0.51
80,40.37932339,-111.4215613,MC04,Upper,2016-02-20,Winter,M,15.9,0,0,0,0,0,0,0
81,40.38604147,-111.4347176,MC05,Upper,2016-02-20,Winter,M,17.5,1.82,51.5,0.78,0.36,0.42,0,0.42
82,40.39472968,-111.4455208,MC06,Lower,2016-02-20,Winter,M,19.6,1.16,32.8,1.15,0.03,1.12,0.44,0.67
83,40.4018619,-111.459279,MC07,Lower,2016-02-20,Winter,M,21.8,3.23,91.5,10.46,5.09,5.37,2.33,3.04
84,40.40413866,-111.4654134,MC08,Lower,2016-02-20,Winter,M,22.4,10.18,288.3,46.35,20.7,25.66,11.67,13.98
85,40.40631407,-111.4723729,MC09,Lower,2016-02-20,Winter,M,23.2,9.67,273.8,47.65,23.6,24.04,18.07,5.97
86,40.40965002,-111.4784938,MC10,Lower,2016-02-20,Winter,M,24,13.04,369.3,40.29,11.63,28.65,12.74,15.91
87,40.34323751,-111.4098996,LHC01,Upper,2016-02-20,Winter,L,5.53,no_access,no_access,no_access,no_access,no_access,no_access,no_access
