id,lat,long,site,half,date,season,stream,dist,cfs,ls,tp,pp,tdp,drp,dop,tp,pp,tdp,drp,dop
37,40.40197848,-111.4505074,SC06,Lower,2015-05-06,Spring,S,4.13,1.31,37.1,0.090,lost,lost,0.020,lost,3.34,lost,lost,0.72,lost
38,40.40300907,-111.4591105,SC07,Lower,2015-05-06,Spring,S,5.17,1.33,37.7,0.140,lost,lost,0.048,lost,5.27,lost,lost,1.81,lost
39,40.33435765,-111.3794539,MC01,Upper,2015-07-29,Summer,M,9.11,1.82,51.5,0.018,0.018,0.000,0.000,0.000,0.93,0.93,0.00,0.00,0.00
40,40.35729228,-111.394846,MC02,Upper,2015-07-29,Summer,M,12.10,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
41,40.36984777,-111.4035923,MC03,Upper,2015-07-29,Summer,M,13.80,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
42,40.37932339,-111.4215613,MC04,Upper,2015-07-29,Summer,M,15.90,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
43,40.38604147,-111.4347176,MC05,Upper,2015-07-29,Summer,M,17.50,0.05,1.4,0.082,0.051,0.031,0.024,0.007,0.12,0.07,0.04,0.03,0.01
44,40.39472968,-111.4455208,MC06,Lower,2015-07-29,Summer,M,19.60,0.14,4.0,0.052,0.021,0.031,0.021,0.010,0.21,0.08,0.12,0.08,0.04
45,40.4018619,-111.459279,MC07,Lower,2015-07-29,Summer,M,21.80,0.39,11.0,0.046,0.019,0.027,0.011,0.017,0.51,0.21,0.30,0.12,0.18
46,40.40413866,-111.4654134,MC08,Lower,2015-07-29,Summer,M,22.40,0.28,7.9,0.075,0.017,0.058,0.050,0.009,0.59,0.13,0.46,0.39,0.07
47,40.40631407,-111.4723729,MC09,Lower,2015-07-29,Summer,M,23.20,0.53,15.0,0.199,0.154,0.045,0.027,0.018,2.99,2.31,0.68,0.41,0.27
48,40.40965002,-111.4784938,MC10,Lower,2015-07-29,Summer,M,24.00,3.24,91.7,0.051,0.025,0.026,0.021,0.005,4.68,2.29,2.39,1.93,0.46
49,40.34323751,-111.4098996,LHC01,Upper,2015-07-29,Summer,L,5.53,0.73,20.7,0.268,0.015,0.253,0.245,0.009,5.54,0.31,5.23,5.05,0.18
50,40.36189332,-111.4079966,LHC03,Upper,2015-07-29,Summer,L,8.00,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
51,40.37567584,-111.4246417,LHC04,Upper,2015-07-29,Summer,L,10.40,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
52,40.34765666,-111.4028916,LHC02,Upper,2015-07-29,Summer,L,6.58,0.02,0.6,0.037,0.012,0.025,0.017,0.009,0.02,0.01,0.01,0.01,0.00
